pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_insol,pl_eqt,rowupdate,pl_pubdate,releasedate
Gliese 12 b,12.76142000,0.067000,0.900,10.00000,17.70000,1.60,315,2024-05-21,2024-05,2024-05-21
Gliese 12 b,12.76140800,0.066800,0.958,3.87000,,1.62,315,2024-05-21,2024-05,2024-05-21
SPECULOOS-3 b,0.71912603,0.007330,0.977,,,15.54,553,2024-05-21,2024-05,2024-05-21
GJ 806 b,0.92632300,,4.007,,,1082.41,1597,2024-05-20,2017-07,2024-05-20
HD 191939 b,8.88030960,,3.205,,,57.51,767,2024-05-20,2017-07,2024-05-20
HD 191939 c,28.58035600,,2.560,,,12.82,527,2024-05-20,2017-07,2024-05-20
HD 191939 d,38.35225680,,2.617,,,25.39,625,2024-05-20,2017-07,2024-05-20
HD 235088 b,7.43414880,,1.951,,,49.71,739,2024-05-20,2017-07,2024-05-20
HD 332231 b,18.71181840,,10.577,,,162.94,995,2024-05-20,2017-07,2024-05-20
KELT-18 b,2.87169780,,18.040,,,3429.37,2131,2024-05-20,2017-07,2024-05-20
KELT-21 b,3.61277140,,19.366,,,5011.92,2344,2024-05-20,2017-07,2024-05-20
KELT-24 b,5.55148880,,15.804,,,802.86,1482,2024-05-20,2017-07,2024-05-20
KELT-9 b,1.48109029,,20.340,,,33326.73,3446,2024-05-20,2017-07,2024-05-20
KOI-13 b,1.76358730,,,,,4461.16,2084,2024-05-20,2017-07,2024-05-20
Kepler-410 A b,17.83358990,,2.163,,,62.10,782,2024-05-20,2017-07,2024-05-20
TOI-1136 d,12.51872790,,5.589,,,626.36,1393,2024-05-20,2017-07,2024-05-20
TOI-1136 f,26.32087560,,2.713,,,26.43,631,2024-05-20,2017-07,2024-05-20
TOI-1181 b,2.10319420,,16.709,,,3297.30,2111,2024-05-20,2017-07,2024-05-20
TOI-1194 b,2.31064280,,8.767,,,203.69,1052,2024-05-20,2017-07,2024-05-20
TOI-1201 b,2.49197708,,2.219,,,39.65,640,2024-05-20,2017-07,2024-05-20
WASP-193 b,6.24622520,,13.461,,,339.10,1094,2024-05-20,2017-07,2024-05-20
WASP-47 b,4.15915100,,12.860,374.00000,,,,2024-05-14,2023-05,2024-05-14
WASP-47 c,589.57000000,,,447.00000,,,,2024-05-14,2023-05,2024-05-14
WASP-47 d,9.03050100,,3.650,15.50000,,,,2024-05-14,2023-05,2024-05-14
WASP-47 e,0.78961000,,1.830,9.00000,,,,2024-05-14,2023-05,2024-05-14
HAT-P-22 b,3.21223020,,13.036,,,325.57,1183,2024-05-13,2017-07,2024-05-13
TOI-1136 c,6.25860650,,2.516,,,232.39,1087,2024-05-13,2017-07,2024-05-13
TOI-1199 b,3.67147170,,10.678,,,324.11,1182,2024-05-13,2017-07,2024-05-13
TOI-1268 b,8.15772100,,9.319,,,91.10,860,2024-05-13,2017-07,2024-05-13
TOI-1860 b,1.06620820,,1.088,,,876.70,1515,2024-05-13,2017-07,2024-05-13
2MASS J0249-0557 c,,1950.000000,,3686.80952,,,,2024-05-13,2018-08,2024-05-13
KELT-7 b,2.73476541,,,,,,,2024-05-13,2020-09,2024-05-13
TOI-4633 c,271.94450000,0.847000,3.200,123.00000,,1.56,,2024-05-13,2024-05,2024-05-13
TOI-815 b,11.19725900,0.090300,2.940,7.60000,1.64000,36.90,686,2024-05-13,2024-05,2024-05-13
TOI-815 c,34.97614500,0.193000,2.620,23.50000,7.20000,8.03,469,2024-05-13,2024-05,2024-05-13
HATS-1 b,3.44645291,,12.540,,,489.95,1200,2024-05-08,2017-07,2024-05-08
K2-291 b,2.22516390,,1.504,,,348.60,1203,2024-05-08,2017-07,2024-05-08
K2-394 b,5.09579830,,1.923,,,28.51,643,2024-05-08,2017-07,2024-05-08
K2-399 b,0.75997580,,12.547,,,9668.66,2529,2024-05-08,2017-07,2024-05-08
TOI-1064 b,6.44386575,,2.460,,,60.83,712,2024-05-08,2017-07,2024-05-08
TOI-1064 c,12.22655952,,2.601,,,25.90,575,2024-05-08,2017-07,2024-05-08
TOI-238 b,1.27309650,,1.579,,,660.28,1412,2024-05-08,2017-07,2024-05-08
TOI-431 b,0.49005894,,1.474,,,2120.45,1731,2024-05-08,2017-07,2024-05-08
TOI-431 d,12.46100864,,3.281,,,28.36,589,2024-05-08,2017-07,2024-05-08
TOI-561 d,25.71221573,,2.878,,,2.86,332,2024-05-08,2017-07,2024-05-08
TOI-836 c,8.59547920,,2.640,,,40.82,704,2024-05-08,2017-07,2024-05-08
TOI-954 b,3.68497000,,9.055,,,1260.27,1659,2024-05-08,2017-07,2024-05-08
WASP-61 b,3.85588998,,14.522,,,1062.03,1456,2024-05-08,2017-07,2024-05-08
WASP-98 b,2.96264020,,12.655,,,269.88,1034,2024-05-08,2017-07,2024-05-08
2MASS J03590986+2009361 b,,572.000000,,5720.91133,,,2369,2024-05-08,2024-01,2024-05-08
2MASS J11011926-7732383 b,,266.000000,,8899.19540,,,2677,2024-05-08,2024-01,2024-05-08
FU Tau b,,726.000000,,6038.73973,,,2559,2024-05-08,2024-01,2024-05-08
G 196-3 b,,350.000000,,8263.53858,,,1670,2024-05-08,2024-01,2024-05-08
HIP 77900 b,,3319.000000,,6674.39655,,,2507,2024-05-08,2024-01,2024-05-08
ITG 15 b,,435.000000,,6674.39655,,,2601,2024-05-08,2024-01,2024-05-08
Oph 11 b,,256.000000,,5720.91133,,,2408,2024-05-08,2024-01,2024-05-08
TIC 139270665 b,23.62400000,0.163000,7.230,147.15455,2.13000,40.30,703,2024-05-08,2024-04,2024-05-08
TIC 139270665 c,1010.00000000,2.000000,,,,0.21,200,2024-05-08,2024-04,2024-05-08
TOI-4336 A b,16.33633400,0.087200,2.120,,,1.50,308,2024-05-08,2024-04,2024-05-08
GJ 1214 b,1.58040442,,,,,,,2024-05-08,2024-05,2024-05-08
HAT-P-1 b,4.46530031,,,,,,,2024-05-08,2024-05,2024-05-08
HAT-P-13 b,2.91624121,,,,,,,2024-05-08,2024-05,2024-05-08
HAT-P-16 b,2.77596727,,,,,,,2024-05-08,2024-05,2024-05-08
HAT-P-22 b,3.21223265,,,,,,,2024-05-08,2024-05,2024-05-08
HAT-P-30 b,2.81060070,,,,,,,2024-05-08,2024-05,2024-05-08
HAT-P-53 b,1.96162529,,,,,,,2024-05-08,2024-05,2024-05-08
KELT-3 b,2.70339023,,,,,,,2024-05-08,2024-05,2024-05-08
Qatar-2 b,1.33711644,,,,,,,2024-05-08,2024-05,2024-05-08
WASP-11 b,3.72247975,,,,,,,2024-05-08,2024-05,2024-05-08
WASP-44 b,2.42381131,,,,,,,2024-05-08,2024-05,2024-05-08
WASP-50 b,1.95509245,,,,,,,2024-05-08,2024-05,2024-05-08
WASP-77 A b,1.36002890,,,,,,,2024-05-08,2024-05,2024-05-08
WASP-8 b,8.15872562,,,,,,,2024-05-08,2024-05,2024-05-08
WASP-93 b,2.73253778,,,,,,,2024-05-08,2024-05,2024-05-08
XO-2 N b,2.61585946,,,,,,,2024-05-08,2024-05,2024-05-08
2MASS J11550485-7919108 b,,587.000000,,6356.56814,,,2506,2024-05-07,2024-01,2024-05-07
2MASS J21252752-8138278 b,,7493.000000,,3813.94088,,,1616,2024-05-07,2024-01,2024-05-07
TOI-4336 A b,16.33636652,,2.049,,,1.69,291,2024-04-21,2017-07,2024-04-21
LHS 475 b,2.02910100,0.020370,0.975,,,20.80,587,2024-04-21,2024-05,2024-04-21
HD 106315 c,21.05731000,,4.980,14.60000,,,,2024-04-19,2021-01,2024-04-19
HD 76920 b,415.89100000,1.091000,,,,,,2024-04-19,2021-04,2024-04-19
HD 76920 b,,1.165000,,,,,,2024-04-19,2023-03,2024-04-19
HD 150706 b,13100.00000000,11.500000,,772.32303,,,,2024-04-19,2023-05,2024-04-19
HD 190984 b,9970.00000000,8.800000,,1137.82570,,,,2024-04-19,2023-05,2024-04-19
HD 204313 e,27000.00000000,17.900000,,6324.78530,,,,2024-04-19,2023-05,2024-04-19
HD 73267 c,13900.00000000,11.000000,,1398.44499,,,,2024-04-19,2023-05,2024-04-19
Kepler-1660 AB b,239.50440000,,,1586.59941,,,,2024-04-19,2023-11,2024-04-19
KMT-2023-BLG-0416L b,,2.960000,,13.03096,,,,2024-04-19,2024-03,2024-04-19
KMT-2023-BLG-0416L b,,3.730000,,1954.64470,,,,2024-04-19,2024-03,2024-04-19
KMT-2023-BLG-0416L b,,2.320000,,2116.73719,,,,2024-04-19,2024-03,2024-04-19
KMT-2023-BLG-0416L b,,3.040000,,13.34879,,,,2024-04-19,2024-03,2024-04-19
KMT-2023-BLG-1454L b,,1.180000,,200.23190,,,,2024-04-19,2024-03,2024-04-19
KMT-2023-BLG-1454L b,,1.470000,,244.72787,,,,2024-04-19,2024-03,2024-04-19
KMT-2023-BLG-1454L b,,1.260000,,95.34852,,,,2024-04-19,2024-03,2024-04-19
KMT-2023-BLG-1454L b,,1.330000,,177.98391,,,,2024-04-19,2024-03,2024-04-19
KMT-2023-BLG-1642L b,,1.410000,,343.25468,,,,2024-04-19,2024-03,2024-04-19
KMT-2023-BLG-1642L b,,1.320000,,406.82036,,,,2024-04-19,2024-03,2024-04-19
HIP 39017 b,31000.00000000,22.100000,,7500.75041,,,,2024-04-19,2024-05,2024-04-19
KOI-2513.01,19.00547000,0.500000,2.802,7310.05336,2000.00000,,,2024-04-15,2023-04,2024-04-15
TOI-1899 b,29.09031200,0.152500,11.097,212.94503,0.85000,3.40,378,2024-04-15,2023-09,2024-04-15
TOI-1467 b,5.97114300,0.051000,1.833,,,16.27,559,2024-04-15,2023-11,2024-04-15
TOI-1739 b,8.30334200,0.074200,1.695,,,54.35,756,2024-04-15,2023-11,2024-04-15
TOI-2068 b,7.76891500,0.063200,1.821,,,12.23,521,2024-04-15,2023-11,2024-04-15
TOI-238 b,1.27311400,0.021200,1.612,,,747.65,1457,2024-04-15,2023-11,2024-04-15
TOI-4559 b,3.96599100,0.035900,1.415,,,15.77,554,2024-04-15,2023-11,2024-04-15
TOI-5799 b,4.16475300,0.035200,1.625,,,11.91,518,2024-04-15,2023-11,2024-04-15
TOI-771 b,2.32602100,0.020700,1.422,,,12.86,527,2024-04-15,2023-11,2024-04-15
TOI-871 b,14.36256500,0.105400,1.664,,,24.78,621,2024-04-15,2023-11,2024-04-15
Kepler-111 c,224.77833000,0.751000,7.084,222.47988,3.42000,4590.00,352,2024-04-15,2024-03,2024-04-15
Kepler-553 b,4.03046700,0.047660,4.741,116.00737,,436000.00,1089,2024-04-15,2024-03,2024-04-15
Kepler-553 c,328.24017000,0.898000,11.579,2129.45033,7.53000,1090.00,251,2024-04-15,2024-03,2024-04-15
